season,flash_team,flash_name,final_status,player_slug,identity_season_club_path,identity_clubs_all,identity_seasons_all,identity_in_target_club,match_method,risk_level,evidence,user_decision
2023/24,Górnik Zabrze,Czyż S.,matched_auto_transfer_candidate,szymon-czyz,2024/25:widzew-lodz | 2025/26:widzew-lodz,widzew-lodz,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Górnik Zabrze,Dadok R.,matched_auto_transfer_candidate,robert-dadok,2023/24:ruch-chorzow | 2024/25:stal-mielec,ruch-chorzow | stal-mielec,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Górnik Zabrze,Paluszek A.,matched_auto_transfer_candidate,aleksander-paluszek,2023/24:slask-wroclaw | 2024/25:slask-wroclaw | 2025/26:gks-katowice,gks-katowice | slask-wroclaw,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Lech Poznań,Wilak F.,matched_auto_transfer_candidate,filip-wilak,2023/24:ruch-chorzow,ruch-chorzow,2023/24,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Legia Warszawa,Josue,matched_manual_review,josue-pesqueira,2023/24:legia-warszawa,legia-warszawa,2023/24,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Pogoń Szczecin,Rostami Y.,matched_auto_transfer_candidate,yadegar-rostami,2023/24:lks-lodz,lks-lodz,2023/24,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Pogoń Szczecin,Stipica D.,matched_auto_transfer_candidate,dante-stipica,2023/24:ruch-chorzow,ruch-chorzow,2023/24,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Puszcza Niepołomice,Lee Jin-Hyun,matched_manual_review,jin-hyun-lee,2023/24:puszcza-niepolomice | 2024/25:puszcza-niepolomice,puszcza-niepolomice,2023/24 | 2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Puszcza Niepołomice,Thiago,matched_manual_review,thiago-rodrigues-de-souza,2023/24:puszcza-niepolomice,puszcza-niepolomice,2023/24,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Radomiak Radom,Guilherme,matched_manual_review,guilherme-da-gama-zimovski,2023/24:radomiak-radom | 2024/25:radomiak-radom,radomiak-radom,2023/24 | 2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Radomiak Radom,Kobylak G.,matched_auto_transfer_candidate,gabriel-kobylak,2023/24:legia-warszawa | 2024/25:legia-warszawa,legia-warszawa,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Radomiak Radom,Leandro,matched_manual_review,leandro-rossi-pereira,2023/24:radomiak-radom | 2024/25:radomiak-radom | 2025/26:radomiak-radom,radomiak-radom,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Radomiak Radom,Rossi R.,matched_manual_review,leandro-rossi-pereira,2023/24:radomiak-radom | 2024/25:radomiak-radom | 2025/26:radomiak-radom,radomiak-radom,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Radomiak Radom,Vagner,matched_manual_review,vagner-dias,2023/24:radomiak-radom | 2024/25:radomiak-radom,radomiak-radom,2023/24 | 2024/25,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Raków Częstochowa,Czyż S.,matched_auto_transfer_candidate,szymon-czyz,2024/25:widzew-lodz | 2025/26:widzew-lodz,widzew-lodz,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Raków Częstochowa,Dominguez M.,matched_auto_transfer_candidate,maxime-dominguez,2025/26:cracovia,cracovia,2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Raków Częstochowa,Piasecki F.,matched_auto_transfer_candidate,fabian-piasecki,2023/24:piast-gliwice | 2024/25:piast-gliwice,piast-gliwice,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Raków Częstochowa,Silva J. C.,matched_manual_review,jean-carlos-silva-rocha,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,rakow-czestochowa,2023/24 | 2024/25 | 2025/26,1.0,manual_accept_review_needed,HIGH,manual_review — subiektywna decyzja AI,
2023/24,Raków Częstochowa,Wdowiak M.,matched_auto_transfer_candidate,mateusz-wdowiak,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
2023/24,Stal Mielec,Strzałek I.,matched_auto_transfer_candidate,igor-strzaek,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:nieciecza,legia-warszawa | nieciecza,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,HIGH,transfer_candidate — zawodnik w innym klubie,
